216208,0.28,0.53,0.87,-20.13,7.73,-9.43,36.75,-5.67,291.52
216218,0.28,0.53,0.86,-17.37,0.11,-9.48,36.66,-5.96,291.27
216228,0.27,0.53,0.86,-15.94,-3.16,-9.28,36.52,-6.13,291.11
216238,0.27,0.53,0.86,-15.29,-3.19,-8.98,36.34,-6.20,291.03
216248,0.26,0.53,0.86,-13.58,-4.45,-8.75,36.23,-6.33,290.92
216258,0.25,0.53,0.85,-11.70,-7.18,-8.43,36.16,-6.54,290.76
216268,0.25,0.53,0.84,-10.25,-8.71,-8.32,36.08,-6.71,290.61
216278,0.24,0.52,0.83,-8.55,-9.60,-8.17,36.01,-6.86,290.48
216288,0.23,0.52,0.82,-7.44,-10.49,-8.10,35.95,-7.03,290.34
216298,0.23,0.52,0.83,-6.37,-11.48,-8.00,35.87,-7.19,290.19
216308,0.23,0.52,0.83,-5.68,-11.93,-7.89,35.80,-7.35,290.06
216318,0.22,0.53,0.84,-5.61,-11.45,-8.12,35.69,-7.46,289.94
216328,0.22,0.53,0.83,-5.83,-10.98,-8.35,35.58,-7.57,289.82
216338,0.21,0.53,0.83,-6.48,-10.26,-8.50,35.42,-7.65,289.71
216348,0.21,0.54,0.84,-7.06,-9.76,-8.41,35.29,-7.76,289.61
216358,0.20,0.55,0.84,-5.82,-9.34,-7.74,35.26,-7.91,289.52
216368,0.20,0.55,0.85,-3.57,-8.90,-6.67,35.29,-8.06,289.47
216378,0.20,0.56,0.85,-1.83,-8.09,-5.84,35.27,-8.16,289.43
216388,0.19,0.56,0.84,-0.60,-7.01,-4.90,35.23,-8.23,289.42
216398,0.18,0.56,0.84,0.05,-6.14,-4.06,35.16,-8.26,289.41
216408,0.18,0.55,0.85,0.11,-5.65,-3.31,35.06,-8.31,289.40
216418,0.18,0.56,0.85,-0.18,-6.08,-2.96,35.00,-8.46,289.35
216428,0.18,0.56,0.85,0.34,-7.16,-3.14,34.98,-8.63,289.26
216438,0.18,0.56,0.85,1.94,-8.69,-3.54,35.00,-8.79,289.14
