349799,0.07,0.35,0.59,3.03,-37.72,-37.07,36.42,-6.80,201.14
349809,0.06,0.34,0.59,1.99,-37.89,-37.75,36.38,-6.81,200.59
349819,0.06,0.34,0.59,0.20,-37.93,-37.95,36.28,-6.85,200.06
349829,0.05,0.34,0.58,-1.86,-38.24,-37.59,36.17,-6.88,199.54
349839,0.05,0.35,0.58,-3.12,-38.85,-37.31,36.09,-6.92,199.01
349849,0.04,0.35,0.58,-3.35,-39.60,-36.56,36.04,-6.99,198.49
349859,0.04,0.36,0.59,-3.88,-39.72,-35.40,35.98,-7.05,198.01
349869,0.04,0.36,0.59,-4.37,-38.64,-34.12,35.88,-7.10,197.58
349879,0.05,0.37,0.60,-3.91,-37.31,-33.35,35.83,-7.13,197.15
349889,0.05,0.38,0.61,-2.30,-36.78,-33.31,35.90,-7.11,196.68
349899,0.05,0.40,0.62,-1.60,-36.88,-32.82,36.02,-7.13,196.20
349909,0.05,0.42,0.62,-4.30,-37.38,-31.03,35.94,-7.20,195.77
349919,0.06,0.44,0.63,-9.23,-37.96,-29.17,35.76,-7.30,195.35
349929,0.06,0.46,0.66,-15.15,-39.11,-26.82,35.44,-7.44,194.95
349939,0.06,0.47,0.68,-20.55,-39.95,-24.07,35.04,-7.61,194.59
349949,0.07,0.49,0.71,-24.32,-38.77,-20.80,34.63,-7.75,194.34
349959,0.07,0.49,0.74,-26.29,-36.40,-17.87,34.23,-7.88,194.14
349969,0.08,0.50,0.77,-26.22,-33.04,-15.41,33.90,-7.97,194.00
349979,0.09,0.51,0.79,-25.45,-29.63,-13.66,33.61,-8.01,193.86
349989,0.09,0.52,0.82,-24.90,-26.78,-12.48,33.32,-8.05,193.72
349999,0.09,0.54,0.85,-24.70,-25.14,-11.79,33.07,-8.05,193.55
350009,0.09,0.56,0.87,-24.63,-24.95,-11.01,32.91,-8.11,193.34
350019,0.09,0.59,0.88,-25.16,-24.52,-10.21,32.75,-8.20,193.14
350029,0.10,0.61,0.90,-26.50,-22.80,-8.85,32.55,-8.28,193.01
350039,0.11,0.63,0.91,-27.41,-20.40,-7.24,32.34,-8.32,192.94
350049,0.10,0.65,0.93,-28.05,-16.54,-4.90,32.10,-8.26,192.96
350059,0.10,0.66,0.96,-29.50,-11.79,-1.42,31.76,-8.16,193.10
350069,0.11,0.65,1.02,-31.55,-6.89,3.48,31.22,-8.15,193.38
350079,0.13,0.63,1.08,-32.70,-4.03,6.97,30.72,-8.19,193.61
350089,0.16,0.60,1.13,-33.24,-3.47,8.52,30.24,-8.30,193.75
350099,0.18,0.58,1.19,-33.70,-3.80,9.06,29.78,-8.42,193.84
350109,0.21,0.57,1.22,-30.22,-4.01,8.48,29.51,-8.54,193.88
350119,0.22,0.57,1.22,-26.00,-4.31,6.61,29.33,-8.63,193.86
350129,0.21,0.57,1.21,-23.60,-1.52,7.86,29.06,-8.59,194.04
350139,0.21,0.57,1.22,-23.32,2.07,10.58,28.70,-8.54,194.32
350149,0.22,0.57,1.23,-24.47,5.22,12.73,28.27,-8.55,194.61
350159,0.23,0.57,1.25,-26.25,7.53,13.27,27.80,-8.50,194.85
350169,0.23,0.57,1.26,-29.01,8.94,13.79,27.27,-8.45,195.07
350179,0.22,0.57,1.28,-33.13,8.99,14.00,26.64,-8.42,195.26
350189,0.23,0.56,1.31,-36.83,8.45,13.19,26.00,-8.44,195.40
350199,0.23,0.56,1.33,-38.91,7.14,10.48,25.42,-8.42,195.42
350209,0.23,0.56,1.33,-40.41,7.32,7.97,24.85,-8.35,195.45
350219,0.22,0.56,1.33,-42.61,9.08,5.31,24.26,-8.10,195.48
350229,0.22,0.56,1.33,-45.46,11.66,3.63,23.58,-7.87,195.55
